title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc,bpi_notes,bpi_avg,bpi_wr,bpi_coef,bpi_at_aaa,bpi_at_9444
#CMFLG,_cmflg,A,1748,120.77,21.0,14.3554,2.4,155.0,155.0,1.0,92.6,53.7,81.4,20.2,44.3,8.4,2.8,303.4,1743,1271.5,1345.36,1447.22,1499.95,1767.28,2222.12,1748.0,3040.0,3472.0,0.869863,7.8913,33.9165
華麗なる大犬円舞曲,_valse27,A,1685,124.15,23.2,14.5069,2.8,60.0,147.0,2.45,95.1,53.2,85.3,26.1,91.6,7.2,0.0,358.5,1685,1242.5,1599.0,1650.01,1665.67,2024.42,2635.86,1849.0,2931.0,3647.0,0.641418,38.9761,62.8661
君のハートにロックオン,_klockon,X,1336,120.06,16.2,10.9769,1.6,260.0,260.0,1.0,87.2,25.0,86.1,7.9,18.3,5.4,0.0,229.9,1336,1068.0,1607.87,1675.69,1693.64,1982.81,2570.56,1828.0,2840.0,3590.0,0.891813,31.7868,58.795
九尾狐夜行,_kyubi,A,1320,120.21,19.4,12.3327,1.8,145.0,145.0,1.0,40.4,67.0,39.7,16.7,47.1,5.5,0.0,216.4,1320,1060.0,1326.66,1446.39,1500.85,1810.7,2450.61,1521.0,2660.0,3018.0,0.751649,9.5937,39.9164
共鳴遊戯の華,_kyoumei,A,1931,118.82,23.6,16.1798,1.6,190.0,190.0,1.0,93.1,49.9,92.3,16.6,37.2,4.4,19.0,312.5,1918,1359.0,1637.33,1691.37,1713.56,1986.7,2614.62,2000.0,3174.0,3972.0,0.777282,26.685,47.8023
グッバイ宣言,_goodbys,X,1849,120.0,18.6,15.2777,3.4,170.0,170.0,1.0,47.4,81.2,40.9,3.2,13.9,11.8,23.3,221.7,1807,1303.5,1396.62,1471.52,1512.34,1771.44,2254.27,,,,,,
狂イ咲ケ焔ノ華,_kuruizk,A,1813,129.32,23.0,13.9123,3.0,206.0,206.0,1.0,63.0,38.2,43.6,15.2,43.1,6.9,0.0,210.0,1813,1306.5,1367.58,1474.73,1528.64,1790.11,2219.28,1860.0,3237.0,3705.0,0.640977,13.583,40.4927
黒髪乱れし修羅となりて,_krokami,A,1729,120.0,19.8,14.281,2.0,150.0,150.0,1.0,78.6,60.0,82.2,37.7,78.4,5.2,0.0,342.1,1729,1264.5,1297.96,1401.15,1459.45,1716.17,2071.33,1745.0,3066.0,3489.0,0.513304,11.449,34.9847
恋する☆宇宙戦争っ!!,_koisuru,A,1669,122.47,20.8,13.4911,2.2,200.0,200.0,1.0,75.0,36.6,62.3,9.6,22.8,8.5,7.2,222.0,1658,1229.0,1603.02,1672.58,1702.54,1967.12,2507.79,1835.0,3073.0,3655.0,0.573452,27.2084,49.3156
子供の落書き帳,_kodomo,A,1372,128.79,18.2,10.6217,1.6,280.0,280.0,1.0,56.7,43.7,41.0,22.3,26.2,3.2,0.0,193.1,1372,1086.0,1454.78,1552.96,1610.03,1869.95,2354.47,1395.0,2187.0,2739.0,0.893211,30.9862,58.6236
今宵、ロマンス横丁。,_koyoiry,A,1714,117.14,22.6,14.4983,4.0,168.0,168.0,1.0,67.1,53.6,71.4,23.2,38.3,13.0,28.7,295.3,1686,1243.0,1511.96,1588.54,1624.62,1882.19,2383.23,1714.0,2857.0,3392.0,0.775163,22.5488,48.791
金野火織の金色提言,_k_hiori,A,1526,118.4,21.4,13.7423,3.0,225.0,225.0,1.0,37.3,56.0,31.3,7.8,40.7,12.6,1.9,187.6,1521,1160.5,1592.69,1660.09,1676.07,2014.09,2729.14,1630.0,2572.0,3217.0,0.760547,32.7671,57.1881
最小三倍完全数,_saisho3,A,1247,87.27,28.8,15.5175,7.2,220.0,220.0,1.0,76.7,54.3,69.5,31.7,86.3,15.6,0.0,334.1,1247,1023.5,1399.42,1520.76,1560.69,1910.92,2523.63,1314.0,2219.0,2612.0,0.615109,24.8471,49.4073
桜,_sakura,A,1123,97.29,18.0,11.398,2.2,13.0,320.0,24.6154,40.8,56.1,27.8,8.9,76.4,8.5,0.0,218.5,1123,961.5,1369.08,1501.67,1581.7,1989.98,2711.08,1123.0,1786.0,2222.0,0.761473,30.0812,53.6281
#The_Relentless,_therele,X,1444,125.74,16.4,11.373,2.6,170.0,170.0,1.0,51.4,41.0,30.9,9.0,29.9,9.5,9.1,180.8,1426,1113.0,1745.6,1780.54,1790.72,2077.68,2723.71,2273.0,3613.0,4504.0,0.735579,30.3081,52.9095
残像ニ繋ガレタ追憶ノHIDEAWAY,_zanzoni,A,1789,121.59,18.2,14.582,2.2,160.0,160.0,1.0,70.9,66.0,66.3,17.8,23.9,5.3,0.0,250.2,1789,1294.5,1212.17,1318.42,1403.45,1641.42,1911.3,1789.0,3301.0,3577.0,0.620736,-15.0,17.2236
疾風迅雷,_ltspeed,A,1824,113.33,26.6,15.986,8.0,180.0,180.0,1.0,67.0,51.5,69.1,31.0,52.3,28.1,17.4,316.4,1811,1305.5,1438.81,1531.37,1565.31,1854.87,2440.38,1493.0,2553.0,2958.0,0.71172,19.0031,47.3793
疾風迅雷†LEGGENDARIA,_ltspedl,A,1824,113.33,26.6,15.986,8.0,180.0,180.0,1.0,67.0,51.5,69.1,31.0,52.3,28.1,17.4,316.4,1811,1305.5,1840.11,1912.78,1919.88,2346.45,3132.62,1824.0,2797.0,3577.0,0.736395,40.9992,66.704
シムルグの目醒め,_simurgh,A,1822,123.16,24.8,14.6758,4.8,190.0,190.0,1.0,62.3,49.9,71.3,52.1,58.3,13.7,0.0,307.6,1822,1311.0,1611.89,1678.29,1702.36,2022.65,2743.54,1822.0,2853.0,3614.0,0.692498,33.3255,54.4477
〆,_shime,A,1875,121.5,22.2,15.3607,5.2,160.0,160.0,1.0,54.8,70.2,48.3,10.1,19.0,24.2,0.0,226.6,1875,1337.5,1296.47,1411.9,1495.81,1785.82,2401.59,1877.0,3279.0,3739.0,0.758041,8.215,33.6411
灼熱 Pt.2 Long Train Running,_syaku_2,A,1753,120.73,21.2,14.3752,8.8,165.0,165.0,1.0,17.3,33.1,6.8,4.9,23.6,108.7,0.0,194.4,1753,1276.5,1835.47,1941.28,1969.65,2382.35,2888.49,1804.0,2586.0,3555.0,0.690227,45.166,66.1516
灼熱Beach Side Bunny,_shakunt,A,1673,120.78,19.2,13.7455,9.4,153.0,153.0,1.0,11.5,32.9,5.8,26.3,45.0,97.9,0.0,219.4,1673,1236.5,1727.7,1847.84,1925.45,2362.51,2919.3,1719.0,2449.0,3381.0,0.676552,47.5577,68.872
灼熱Beach Side Bunny(かめりあ's \ Remix),_shaku_c,A,1647,125.52,17.0,13.0016,7.8,174.0,174.0,1.0,37.6,34.0,21.7,3.2,48.9,61.7,0.0,207.1,1647,1223.5,1422.4,1574.34,1664.4,2092.13,2626.83,1647.0,2618.0,3278.0,1.216921,11.0711,27.7799
灼熱 Lost Summer Dayz,_shakuls,A,1453,122.86,18.4,11.6715,8.8,168.0,168.0,1.0,10.9,37.8,15.3,11.1,19.0,69.2,9.0,172.3,1439,1119.5,1208.03,1444.53,1593.17,2025.02,2595.72,1453.0,2455.0,2888.0,0.673175,21.7401,46.2297
終焔のClaudia,_shuen_c,A,1406,112.3,19.6,12.4088,2.4,90.0,185.0,2.0556,53.7,56.5,52.5,17.9,31.3,4.8,0.0,216.7,1406,1103.0,1376.37,1470.11,1516.03,1788.16,2197.05,1406.0,2448.0,2794.0,0.68082,13.0447,42.0016
シュレーディンガーの猫,_schrcat,A,1525,116.15,21.0,14.2262,2.4,187.0,187.0,1.0,59.3,69.3,59.7,28.2,18.7,3.1,0.0,238.3,1525,1162.5,1422.53,1496.8,1543.72,1774.53,2146.62,1717.0,3027.0,3431.0,0.631363,6.4168,30.7018
少年A,_kid_a,A,1404,136.57,17.0,10.3,2.4,90.0,192.0,2.1333,70.9,30.8,64.4,35.1,61.4,12.1,0.0,274.7,1404,1102.0,1378.37,1473.13,1533.08,1816.11,2214.02,1449.0,2430.0,2880.0,0.684463,22.7235,46.579
少年は空を辿る,_soratad,A,1472,119.04,23.8,13.6729,2.2,140.0,140.0,1.0,75.9,60.9,76.2,31.1,73.3,7.0,31.7,356.1,1442,1121.0,1483.73,1561.42,1602.03,1864.67,2411.05,1729.0,2793.0,3432.0,0.731212,27.2061,49.4407
深淵に捧ぐレクイエム,_shinen,A,1465,116.57,20.2,12.713,0.8,175.0,175.0,1.0,62.9,61.2,64.1,26.3,32.4,1.8,104.5,353.2,1366,1083.0,1469.7,1553.38,1593.67,1866.98,2356.33,1537.0,2670.0,3072.0,0.540713,15.3874,37.37
神謳 -RESONANCE-,_resonan,A,2047,128.0,23.2,15.7922,1.6,180.0,180.0,1.0,79.5,73.4,77.0,20.7,35.7,4.1,0.0,290.4,2047,1423.5,1494.88,1554.33,1582.99,1818.59,2304.65,2047.0,3551.0,4078.0,0.822663,8.5286,31.5679
新宝島,_stakara,X,1978,112.09,24.2,17.4619,1.2,165.0,165.0,1.0,75.5,113.8,74.6,15.1,20.7,3.0,171.2,473.9,1714,1257.0,1456.52,1524.95,1560.25,1813.35,2272.66,,,,,,
水鏡の異界,_suikyo,A,1661,115.71,20.2,14.4139,8.6,168.0,168.0,1.0,70.8,34.8,73.1,12.3,27.3,26.0,47.8,292.1,1612,1206.0,1506.78,1593.65,1633.12,1970.97,2509.55,1661.0,2673.0,3288.0,0.77376,27.7262,51.6325
スキッテイエェエエェ!!!!,_sukitte,A,2193,115.2,25.2,18.8414,2.0,200.0,200.0,1.0,65.2,76.4,65.5,34.6,44.0,8.5,0.0,294.2,2193,1496.5,1673.61,1749.7,1782.85,2065.98,2650.14,2193.0,3529.0,4358.0,0.817404,22.8822,44.0908
スパークリング☆彡ハイパーチューン！！,_sparkht,A,1843,127.46,17.4,14.3281,3.0,177.0,177.0,1.0,66.0,63.1,58.2,3.5,17.4,7.1,0.0,215.3,1843,1321.5,1200.5,1346.03,1424.87,1701.19,2027.9,1843.0,3368.0,3682.0,0.798859,-10.2939,15.9331
聖人の塔,_seijin,A,1672,118.29,21.2,14.0504,0.8,97.0,194.0,2.0,82.5,56.8,74.0,14.2,38.0,1.5,38.7,305.7,1603,1201.5,1396.24,1524.46,1608.81,1900.01,2425.27,1567.0,2488.0,3116.0,0.623203,33.3835,53.339
世界の果てに約束の凱歌を -ReUnion-,_sekaiop,A,1983,123.6,26.2,15.9726,3.6,200.0,200.0,1.0,45.8,84.6,43.6,18.6,33.1,7.2,19.1,252.0,1974,1387.0,1571.54,1626.66,1640.12,1936.36,2652.47,1983.0,3347.0,3944.0,0.777026,16.9179,40.1133
雪月花,_stgekka,A,1215,109.67,18.2,10.9164,5.4,151.0,151.0,1.0,64.7,39.0,48.1,7.1,35.1,11.8,0.0,205.8,1215,1007.5,1271.41,1400.08,1453.19,1773.23,2345.24,1287.0,2250.0,2567.0,0.658879,10.4661,36.1294
雪上断火,_setsujo,A,0,0.0,0.0,0.0,0.0,105.0,180.0,1.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1394.22,1526.09,1617.91,1998.6,2521.77,1544.0,2604.0,3058.0,0.797191,18.7874,45.4647
千年ノ理,_sennen,A,1672,119.22,20.2,14.0387,1.6,153.0,153.0,1.0,49.8,84.1,53.9,6.1,25.0,2.0,23.8,244.7,1628,1214.0,1245.5,1339.72,1386.2,1604.19,1857.71,1608.0,2967.0,3212.0,0.750624,-15.0,15.0042
旋律のドグマ～Misérables～,_s_dogma,A,1994,135.0,20.4,14.6529,2.0,192.0,192.0,1.0,78.6,55.4,66.1,15.9,33.8,4.1,0.0,253.9,1994,1397.0,1409.28,1488.74,1535.42,1771.66,2146.76,2002.0,3475.0,3999.0,0.624053,12.7987,34.9241
ぞうしょく！？マイデンティティ,_zoshoku,A,1851,116.4,21.4,15.8154,3.6,200.0,200.0,1.0,61.8,58.9,45.7,14.9,25.7,7.9,3.1,218.0,1846,1323.0,1521.86,1585.56,1618.8,1896.62,2399.75,1851.0,3108.0,3694.0,0.64335,20.4659,40.5502
即席！脳直★ミュージックシステム,_sokseki,A,1786,124.64,19.4,14.2368,2.4,197.0,197.0,1.0,57.6,46.7,57.1,5.5,17.4,11.8,0.0,196.1,1786,1293.0,1366.18,1463.36,1518.25,1780.77,2205.5,1838.0,3100.0,3653.0,0.689757,21.3099,45.6457
それは花火のような恋,_shanabi,A,1976,123.96,19.2,15.8597,3.4,182.0,182.0,1.0,67.8,59.1,73.4,14.5,30.7,11.4,0.0,256.9,1976,1388.0,1400.02,1486.56,1533.54,1781.13,2178.44,1976.0,3443.0,3940.0,0.736611,9.1434,33.2006
∀,_turn_a,A,1802,113.33,24.8,15.7684,2.2,180.0,180.0,1.0,67.9,70.9,67.1,21.0,38.2,7.6,7.0,279.7,1786,1293.0,1649.03,1673.37,1677.11,1942.76,2608.72,1802.0,3085.0,3585.0,0.861175,11.1133,34.1105
抱きしめてモナムール,_dakismt,A,1955,130.11,21.6,15.0915,3.2,190.0,190.0,1.0,67.6,63.5,68.2,17.9,41.5,7.9,5.9,272.5,1947,1373.5,1511.11,1574.19,1599.95,1851.63,2289.8,2110.0,3576.0,4208.0,0.716661,16.3077,37.358
たまゆら,_tamayra,A,1385,109.33,23.4,12.5836,3.2,180.0,180.0,1.0,44.4,73.7,43.5,17.8,32.0,7.1,0.0,218.5,1385,1092.5,1495.32,1551.92,1576.26,1810.74,2160.13,1407.0,2489.0,2804.0,0.777896,2.9541,29.59
超青少年ノ為ノ超多幸ナ超古典的超舞曲,_verycls,X,2092,120.0,25.8,17.2347,1.2,150.0,150.0,1.0,94.8,84.5,106.3,80.3,106.7,1.3,0.0,473.9,2092,1446.0,1634.84,1676.21,1692.29,1993.93,2779.46,2110.0,3434.0,4194.0,0.722429,25.5772,47.2446
超青少年ノ為ノ超多幸ナ超古典的超舞曲†,_verycsl,A,2092,120.0,25.8,17.2347,1.2,150.0,150.0,1.0,94.8,84.5,106.3,80.3,106.7,1.3,0.0,473.9,2092,1446.0,1634.84,1676.21,1692.29,1993.93,2779.46,2110.0,3434.0,4194.0,0.722429,25.5772,47.2446
津軽雪,_tgryuki,A,1872,127.5,26.0,14.6156,2.8,160.0,160.0,1.0,97.8,63.5,90.9,40.5,60.8,5.9,10.7,370.1,1859,1329.5,1518.7,1580.0,1617.75,1871.92,2320.55,1953.0,3335.0,3896.0,0.722302,14.3191,35.5852
ディスコルディア,_dscrdia,A,2073,98.42,39.4,20.8586,2.4,120.0,280.0,2.3333,91.3,74.0,82.3,39.4,135.9,6.3,124.1,553.3,1948,1374.0,1668.84,1768.94,1820.17,2302.83,2947.94,2073.0,3026.0,4056.0,0.864805,40.5444,66.7052
天空の夜明け,_tkyoake,A,2038,124.8,25.2,18.0053,1.4,150.0,150.0,1.0,112.6,73.0,123.0,59.6,78.7,1.6,0.0,448.5,2038,1419.0,1572.97,1621.86,1649.79,1908.92,2451.02,2072.0,3284.0,4110.0,0.959715,20.6235,42.1908
電光,_denkou,A,1560,122.18,20.4,12.6618,5.6,165.0,165.0,1.0,55.7,43.2,46.7,12.1,25.9,24.8,29.9,238.3,1528,1164.0,1347.62,1457.29,1514.58,1860.62,2502.1,1560.0,2646.0,3106.0,0.696949,18.4604,41.6441
天使のカンタータ -Cantata of Angels-,_cantata,A,2205,123.13,25.6,19.2246,2.8,158.0,158.0,1.0,107.8,56.9,121.8,43.6,63.5,4.6,16.0,414.2,2184,1492.0,1722.07,1754.52,1762.44,2037.53,2663.79,2205.0,3371.0,4286.0,1.062881,33.1201,66.3346
電人、暁に斃れる。,_fattack,A,1640,120.82,19.4,13.4231,2.0,165.0,165.0,1.0,87.7,42.7,81.2,27.7,65.5,4.9,0.0,309.7,1640,1220.0,1364.75,1466.67,1523.51,1793.57,2224.99,1725.0,2958.0,3445.0,0.659022,14.6101,35.1966
電腦都市,_dennots,A,1738,110.0,21.2,15.6252,3.4,240.0,240.0,1.0,15.7,69.4,16.0,6.0,13.8,14.1,0.0,135.0,1738,1269.0,1462.37,1554.22,1608.29,1913.0,2628.08,1738.0,2920.0,3449.0,0.704771,22.4123,47.532
東京神話,_tksinwa,A,1505,113.88,21.8,13.1544,4.6,196.0,196.0,1.0,53.8,45.4,56.3,36.1,46.1,13.1,0.0,250.8,1505,1152.5,1533.37,1626.97,1663.8,2002.02,2680.71,1505.0,2413.0,2944.0,0.86139,31.5824,62.1539
童話回廊,_dowakai,A,1465,95.04,26.2,16.6136,1.8,262.0,262.0,1.0,87.1,54.5,92.9,24.1,41.0,7.1,0.0,306.7,1465,1132.5,1437.59,1502.64,1529.93,1800.51,2217.14,1592.0,2757.0,3156.0,0.791624,12.0191,40.8983
轟け！恋のビーンボール！！,_todorok,A,1834,108.0,21.8,16.7431,4.2,180.0,180.0,1.0,70.2,71.6,70.6,14.2,42.3,10.9,0.0,279.8,1834,1317.0,1449.94,1541.14,1600.4,1895.11,2431.49,1834.0,2983.0,3637.0,0.728445,27.1978,50.4871
トリカゴノ鳳凰,_trikago,A,1910,131.03,20.4,14.447,2.4,185.0,185.0,1.0,83.6,46.3,60.6,8.5,25.4,4.8,11.9,241.1,1899,1349.5,1430.07,1504.83,1548.72,1791.65,2235.83,1932.0,3300.0,3854.0,0.633335,18.0977,40.4115
IX,_nine_ix,A,1996,120.0,26.2,16.4182,3.4,198.0,198.0,1.0,70.5,58.9,67.5,22.0,47.5,14.4,15.7,296.5,1973,1386.5,1706.67,1751.25,1758.39,2039.31,2677.26,2007.0,3173.0,3974.0,0.798373,28.5745,51.5279
†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),_nagisa,A,1761,107.37,21.6,16.213,4.4,190.0,190.0,1.0,58.9,67.4,54.6,19.8,38.5,12.6,0.0,251.8,1761,1280.5,1509.76,1584.6,1624.58,1899.96,2446.22,1835.0,3021.0,3648.0,0.773135,21.5245,43.6211
嘆きの樹,_nageki,A,1873,121.5,28.4,16.247,2.8,160.0,160.0,1.0,74.9,82.2,79.8,49.8,45.8,5.5,0.0,338.0,1873,1336.5,1655.61,1709.68,1724.75,2013.36,2516.14,2000.0,3318.0,3976.0,0.792364,19.562,41.9396
夏色DIARY - L.E.D.-G STYLE MIX -,_ntdiary,A,1590,107.45,20.0,14.6241,2.4,190.0,190.0,1.0,71.8,44.8,65.1,10.6,30.0,8.7,28.0,259.0,1555,1177.5,1411.28,1506.93,1552.74,1819.4,2297.14,1590.0,2683.0,3166.0,0.720066,18.3682,40.9324
廿,_twenty,X,1684,121.09,23.6,13.7295,8.6,120.0,160.0,1.3333,58.4,52.5,49.1,36.7,40.5,56.6,0.0,293.8,1684,1242.0,1480.33,1571.66,1621.93,1979.88,2493.93,1731.0,2841.0,3424.0,0.743308,26.9229,52.3183
廿†,_twentyl,A,1684,121.09,23.6,13.7295,8.6,120.0,160.0,1.3333,58.4,52.5,49.1,36.7,40.5,56.6,0.0,293.8,1684,1242.0,1480.33,1571.66,1621.93,1979.88,2493.93,1731.0,2841.0,3424.0,0.743308,26.9229,52.3183
ハイテックトキオ,_hitokio,X,1639,117.91,19.0,13.7898,3.8,165.0,165.0,1.0,83.8,44.9,74.1,3.7,18.9,7.4,25.2,258.0,1600,1200.0,1411.32,1506.54,1548.39,1875.08,2468.7,1657.0,2886.0,3301.0,0.599587,15.0415,42.5044
儚キ戀ノ幻想譚,_hgensou,A,1808,115.29,21.8,15.5,3.8,175.0,175.0,1.0,57.3,65.4,54.4,13.0,24.2,13.5,2.4,230.2,1806,1303.0,1458.43,1523.02,1554.83,1813.12,2296.52,1808.0,3120.0,3605.0,0.730155,12.0572,34.9691
伐折羅-vajra-,_vajra,A,1877,117.92,24.4,15.8915,2.4,173.0,173.0,1.0,96.1,57.8,93.3,30.6,44.2,7.1,0.0,329.1,1877,1338.5,1600.17,1630.08,1637.4,1884.13,2356.49,1877.0,3171.0,3735.0,0.789026,15.8912,38.6376
刃図羅,_buzra,A,1632,128.0,20.0,13.8288,1.4,165.0,165.0,1.0,72.3,54.4,65.4,16.7,32.2,5.5,0.0,246.5,1632,1216.0,1342.82,1432.16,1480.26,1738.66,2124.23,1746.0,3088.0,3467.0,0.844007,2.8103,32.4574
華爛漫-Flowers-,_hranman,X,1029,103.5,13.4,9.9728,1.6,160.0,160.0,1.0,28.1,44.2,22.1,4.5,8.9,4.4,0.0,112.2,1029,914.5,1472.89,1522.46,1546.61,1755.15,2007.6,1597.0,2867.0,3194.0,0.591469,,
ピアノ協奏曲第１番\,_psasori,A,1414,123.2,22.4,11.3952,3.8,120.0,188.0,1.5667,66.3,45.9,63.3,17.8,59.7,8.9,0.0,261.9,1414,1107.0,1547.3,1639.48,1660.44,2085.86,3048.07,1414.0,2334.0,2772.0,0.785419,28.9874,60.1571
ピアノ協奏曲第１番\ (BlackY Remix),_psaso_r,A,1926,129.0,24.2,14.7938,2.2,160.0,160.0,1.0,77.0,74.7,79.9,25.8,55.9,4.0,19.4,336.7,1899,1349.5,1622.55,1653.91,1659.84,1983.07,2653.67,1926.0,3271.0,3813.0,0.832698,16.2917,43.6719
ピアノ独奏無言歌 \,_pkaijin,A,1977,142.25,22.0,13.8028,0.0,100.0,200.0,2.0,103.2,57.3,93.6,48.5,70.0,0.0,0.0,372.6,1977,1388.5,1703.31,1782.0,1828.38,2194.41,2884.5,1977.0,2680.0,3879.0,0.881003,42.1768,65.6351
卑弥呼,_himiko,A,2119,186.9,25.2,11.3241,2.8,83.0,185.0,2.2289,99.1,59.7,95.5,28.8,95.8,3.9,0.0,382.8,2119,1459.5,1771.13,1878.88,1945.97,2335.88,3066.76,2119.0,3175.0,4165.0,0.876146,35.2217,60.3493
フォニイ,_phony,X,1975,122.82,19.4,16.039,1.2,170.0,170.0,1.0,75.6,87.3,64.9,7.1,15.2,2.7,0.0,252.8,1975,1387.5,1332.75,1420.32,1476.54,1719.76,2055.48,,,,,,
二人ノ廃城幽踊宴,_a_rvnant,A,1927,139.46,21.4,13.7214,2.0,120.0,316.0,2.6333,46.3,53.1,46.1,6.1,20.2,6.2,0.0,178.0,1927,1363.5,1576.38,1652.72,1693.79,2026.26,2595.81,1927.0,2820.0,3761.0,0.713314,48.7515,73.7106
不沈艦CANDY,_fuchin,A,1640,118.72,23.4,13.679,1.6,188.0,188.0,1.0,44.6,69.8,53.7,40.4,46.0,3.5,0.0,258.0,1640,1220.0,1483.58,1536.22,1554.14,1800.64,2207.72,1682.0,2952.0,3354.0,0.813447,5.1403,28.3615
《PL|RAYER》,_plrayer,A,1420,119.67,20.0,11.785,2.2,180.0,180.0,1.0,49.0,60.4,41.7,12.7,24.1,5.4,5.4,198.7,1416,1108.0,1300.18,1398.03,1436.01,1703.16,2027.33,1420.0,2594.0,2835.0,0.686197,-15.0,22.4861
紅牡丹,_benibtn,A,1409,103.43,18.8,13.4712,3.0,181.0,181.0,1.0,51.0,58.3,44.1,4.4,16.5,10.4,0.0,184.7,1409,1104.5,1236.6,1363.08,1445.16,1677.51,1981.07,1445.0,2600.0,2888.0,0.6299,-8.7818,26.0584
烽火連天の刃,_hrenten,A,2523,121.26,26.6,20.6279,3.0,190.0,190.0,1.0,76.4,116.1,70.9,30.3,45.2,6.9,181.5,527.3,2273,1536.5,1519.28,1606.8,1640.02,1944.66,2568.76,1771.0,2920.0,3509.0,0.694866,27.4374,52.1237
-65℃,_65c,A,1912,120.0,25.4,15.7835,2.0,186.0,186.0,1.0,66.1,68.3,66.6,22.9,45.7,5.1,38.2,312.9,1858,1329.0,1652.52,1689.87,1697.47,1975.26,2637.09,1912.0,3188.0,3807.0,0.689606,22.0011,43.7953
#MAGiCVLGiRL_TRVP_B3VTZ,_magicvl,A,1721,120.0,21.4,14.2231,2.6,100.0,100.0,1.0,95.0,60.1,99.2,62.1,61.5,9.4,19.1,406.4,1672,1236.0,1423.62,1497.24,1532.2,1809.95,2354.1,1753.0,3120.0,3490.0,0.665222,-2.2072,35.914
魔法のかくれんぼ,_mkakure,A,1454,118.72,21.0,12.2067,1.2,120.0,208.0,1.7333,43.4,56.0,41.0,38.0,50.0,1.2,45.2,274.8,1406,1103.0,1452.91,1565.77,1617.24,1951.49,2472.63,1454.0,2351.0,2883.0,0.601945,34.9714,57.4233
未完成ノ蒸氣驅動乙女,_mikanse,A,1538,114.18,21.2,13.3217,1.8,170.0,170.0,1.0,79.1,37.7,81.9,33.8,39.2,2.4,0.0,274.1,1538,1169.0,1399.64,1510.65,1567.96,1865.27,2451.77,1538.0,2591.0,3030.0,0.857864,19.4522,49.694
禊,_misogi,A,1631,115.59,20.2,13.9397,4.0,160.0,160.0,1.0,87.8,45.4,87.1,22.7,32.9,10.1,65.2,351.2,1569,1184.5,1364.74,1465.16,1535.66,1821.92,2417.02,1631.0,2745.0,3238.0,0.897956,14.3615,37.9646
ミラージュ･レジデンス,_m_resid,X,1372,112.5,17.8,12.1345,1.8,144.0,144.0,1.0,40.3,67.4,37.3,10.6,45.5,6.7,90.9,298.7,1263,1031.5,1501.75,1581.15,1620.97,1905.53,2393.84,1676.0,2893.0,3339.0,0.781845,10.825,34.0336
魅惑のYUMMYスイーツ,_enyummy,A,1586,116.54,20.6,13.4496,3.6,208.0,208.0,1.0,46.8,44.1,51.2,13.5,28.2,14.0,57.4,255.2,1557,1178.5,1503.22,1584.71,1617.14,1917.2,2473.33,1586.0,2569.0,3157.0,0.594946,31.6943,51.8773
冥,_mei,A,1928,166.67,28.6,11.6788,3.8,66.0,200.0,3.0303,82.4,68.0,78.8,29.6,60.6,3.2,0.0,322.6,1928,1364.0,1580.95,1658.51,1986.05,2414.58,3263.85,2000.0,2949.0,3945.0,0.751097,39.5989,61.6774
めいさいアイドル☆あいむちゃん♪,_meisai,A,1717,118.5,20.0,14.4185,1.8,160.0,160.0,1.0,72.4,59.2,68.5,16.2,30.8,5.4,0.0,252.5,1717,1258.5,1401.31,1480.89,1521.26,1786.57,2275.79,1717.0,3012.0,3410.0,0.869721,5.3812,32.6919
龍王の霊廟(Mausoleum Of The Primal Dragon),_mausole,X,2023,126.15,19.6,15.8567,0.8,144.0,144.0,1.0,112.8,70.5,101.3,23.1,45.6,1.5,43.7,398.5,1976,1388.0,1429.45,1504.45,1543.9,1795.25,2251.12,2023.0,3530.0,4041.0,0.608146,11.7376,35.1268
龍と少女とデコヒーレンス,_decoher,X,1648,122.18,21.2,13.3951,2.8,165.0,165.0,1.0,104.3,49.8,102.3,29.1,42.6,4.4,31.0,363.5,1634,1217.0,1503.93,1552.54,1574.63,1802.93,2143.09,1713.0,2963.0,3422.0,0.624366,13.6155,35.0288
龍と少女とデコヒーレンス†,_decohel,A,1648,122.18,21.2,13.3951,2.8,165.0,165.0,1.0,104.3,49.8,102.3,29.1,42.6,4.4,31.0,363.5,1634,1217.0,1503.93,1552.54,1574.63,1802.93,2143.09,1713.0,2963.0,3422.0,0.624366,13.6155,35.0288
リリーゼと炎龍レーヴァテイン,_lilieze,A,1706,108.3,21.0,15.5798,2.0,200.0,200.0,1.0,49.8,68.1,45.4,5.3,19.1,4.8,18.9,211.4,1682,1241.0,1437.1,1522.56,1562.43,1816.74,2264.2,1771.0,3090.0,3527.0,0.793487,7.826,32.6359
恋愛=精度×認識力,_r_s_x_n,A,1752,152.4,26.4,11.6779,2.4,13.0,333.0,25.6154,55.9,77.1,52.2,23.4,41.4,7.2,31.6,288.8,1730,1265.0,1540.79,1667.55,1773.77,2383.9,2933.66,1756.0,2818.0,3468.0,0.845887,26.4963,51.694
