title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc
CODE:Ø,code_0,A,1829,120.96,24.2,15.1613,7.8,125.0,125.0,1.0,90.6,41.9,74.7,18.1,60.0,36.5,0.0,321.8,1829,1314.5,1644.94,1706.25,1720.06,2177.70,2822.26
CONTRACT,contract,A,1329,102.75,25.4,14.2152,2.4,180.0,180.0,1.0,72.5,53.5,69.1,23.6,44.6,6.0,0.0,269.3,1329,1064.5,1669.21,1697.88,1701.00,1963.90,2524.22
Cosmic Cat,cosmicat,A,1651,121.5,21.8,13.4443,2.8,160.0,160.0,1.0,60.2,85.3,58.4,16.4,23.9,6.7,10.9,261.8,1641,1220.5,1469.64,1544.37,1573.46,1833.54,2325.65
four pieces of heaven,fourpces,A,1137,149.82,19.0,7.9662,2.8,120.0,195.0,1.625,62.5,27.7,62.3,9.0,15.9,9.5,0.0,186.9,1137,968.5,1582.15,1683.32,1734.99,1985.67,2394.81
Ganymede,ganymede,A,1199,125.47,17.8,9.5048,1.0,72.0,120.0,1.6667,73.6,44.0,72.0,87.4,120.0,3.9,0.0,400.9,1199,999.5,1555.98,1641.26,1668.49,1953.07,2459.22
HYENA,hyena,A,1470,117.39,17.4,12.3847,5.4,178.0,178.0,1.0,56.6,39.7,42.5,22.4,42.0,10.1,40.4,253.7,1418,1109.0,1654.32,1688.51,1697.69,1985.13,2593.92
Illegal Function Call,illegal,A,1379,121.85,17.2,11.2885,1.2,260.0,260.0,1.0,90.7,15.1,78.6,24.1,38.2,4.4,0.0,251.1,1379,1089.5,1846.97,1925.39,1936.39,2383.32,3195.74
KAMAITACHI,kmitachi,A,1368,113.55,18.4,11.9246,2.4,165.0,165.0,1.0,84.9,24.3,56.7,8.3,24.9,5.9,0.0,205.0,1368,1084.0,1807.79,1865.75,1882.78,2182.89,2778.08
KING,king,A,1981,130.12,18.8,15.113,2.4,166.0,166.0,1.0,65.7,86.4,63.5,10.9,19.7,7.4,0.0,253.6,1981,1390.5,1311.78,1412.00,1475.23,1734.45,2098.24
Kung-fu Empire,kung_fu,A,1657,130.17,17.6,12.6351,2.0,177.0,177.0,1.0,56.6,49.6,54.7,13.7,36.1,5.6,0.0,216.3,1657,1228.5,1390.59,1481.16,1527.72,1789.27,2171.88
